file,missing_value,month,unit,year
gpcp_1dd_v1.2_p1d.201404_monthlyAverage.npy,-99999.,04,mm/day,2014
gpcp_1dd_v1.2_p1d.201405_monthlyAverage.npy,-99999.,05,mm/day,2014
gpcp_1dd_v1.2_p1d.201406_monthlyAverage.npy,-99999.,06,mm/day,2014
gpcp_1dd_v1.2_p1d.201407_monthlyAverage.npy,-99999.,07,mm/day,2014
gpcp_1dd_v1.2_p1d.201408_monthlyAverage.npy,-99999.,08,mm/day,2014
gpcp_1dd_v1.2_p1d.201409_monthlyAverage.npy,-99999.,09,mm/day,2014
gpcp_1dd_v1.2_p1d.201410_monthlyAverage.npy,-99999.,10,mm/day,2014
gpcp_1dd_v1.2_p1d.201411_monthlyAverage.npy,-99999.,11,mm/day,2014
gpcp_1dd_v1.2_p1d.201412_monthlyAverage.npy,-99999.,12,mm/day,2014
gpcp_1dd_v1.2_p1d.201501_monthlyAverage.npy,-99999.,01,mm/day,2015
gpcp_1dd_v1.2_p1d.201502_monthlyAverage.npy,-99999.,02,mm/day,2015
gpcp_1dd_v1.2_p1d.201503_monthlyAverage.npy,-99999.,03,mm/day,2015
gpcp_1dd_v1.2_p1d.201504_monthlyAverage.npy,-99999.,04,mm/day,2015
gpcp_1dd_v1.2_p1d.201505_monthlyAverage.npy,-99999.,05,mm/day,2015
gpcp_1dd_v1.2_p1d.201506_monthlyAverage.npy,-99999.,06,mm/day,2015
gpcp_1dd_v1.2_p1d.201507_monthlyAverage.npy,-99999.,07,mm/day,2015
gpcp_1dd_v1.2_p1d.201508_monthlyAverage.npy,-99999.,08,mm/day,2015
gpcp_1dd_v1.2_p1d.201509_monthlyAverage.npy,-99999.,09,mm/day,2015
gpcp_1dd_v1.2_p1d.201510_monthlyAverage.npy,-99999.,10,mm/day,2015
